Q,threads,System,curve,table log size,prover time (s),verifier time (ms),proof size (KB)
Filter,1,TT,bn254,16,1.274,10,6.471
Aggregate,1,TT,bn254,16,0.114,8,4.896
Join,1,TT,bn254,16,4.373,14,12.312
Join PK/FK,1,TT,bn254,16,0.207,10,3.133
Limit,1,TT,bn254,16,0.38,8,5.458
Filter,1,TT,bls12_381,16,2.044,12,6.824
Aggregate,1,TT,bls12_381,16,0.139,10,5.213
Join,1,TT,bls12_381,16,6.837,17,13.093
Join PK/FK,1,TT,bls12_381,16,0.3,13,3.387
Limit,1,TT,bls12_381,16,0.608,10,5.745
Filter,1,QEDB,bn254,16,6.666,184,2.431
Aggregate,1,QEDB,bn254,16,9.74,50,0.48
Filter,1,QEDB,bls12_381,16,6.666,184,2.431
Aggregate,1,QEDB,bls12_381,16,9.74,50,0.48
Filter,1,PoSQL,bn254,16,9.438,3,5.898
Aggregate,1,PoSQL,bn254,16,5.524,2,5.055
Join,1,PoSQL,bn254,16,8.332,21,11.375
Limit,1,PoSQL,bn254,16,6.93,2,5.375
Filter,1,TT,bn254,17,2.44,10,6.816
Aggregate,1,TT,bn254,17,0.203,8,5.146
Join,1,TT,bn254,17,7.425,15,9.933
Join PK/FK,1,TT,bn254,17,0.393,13,3.336
Limit,1,TT,bn254,17,0.704,8,5.764
Filter,1,TT,bls12_381,17,3.888,12,7.178
Aggregate,1,TT,bls12_381,17,0.268,12,5.471
Join,1,TT,bls12_381,17,11.563,19,10.719
Join PK/FK,1,TT,bls12_381,17,0.574,15,3.606
Limit,1,TT,bls12_381,17,1.105,11,6.069
Filter,1,QEDB,bn254,17,12.22,350,2.431
Aggregate,1,QEDB,bn254,17,17.842,98,0.48
Filter,1,QEDB,bls12_381,17,12.22,350,2.431
Aggregate,1,QEDB,bls12_381,17,17.842,98,0.48
Filter,1,PoSQL,bn254,17,19.442,2,6.18
Aggregate,1,PoSQL,bn254,17,11.374,2,5.336
Join,1,PoSQL,bn254,17,17.218,40,11.938
Limit,1,PoSQL,bn254,17,14.236,2,5.656
Filter,1,TT,bn254,18,4.663,10,7.166
Aggregate,1,TT,bn254,18,0.401,9,5.422
Join,1,TT,bn254,18,13.635,18,10.292
Join PK/FK,1,TT,bn254,18,0.752,16,3.506
Limit,1,TT,bn254,18,1.332,8,6.078
Filter,1,TT,bls12_381,18,7.43,13,7.555
Aggregate,1,TT,bls12_381,18,0.484,12,5.751
Join,1,TT,bls12_381,18,21.249,22,11.106
Join PK/FK,1,TT,bls12_381,18,1.086,19,3.789
Limit,1,TT,bls12_381,18,2.101,11,6.399
Filter,1,QEDB,bn254,18,23.97,744,2.431
Aggregate,1,QEDB,bn254,18,34.573,200,0.48
Filter,1,QEDB,bls12_381,18,23.97,744,2.431
Aggregate,1,QEDB,bls12_381,18,34.573,200,0.48
Filter,1,PoSQL,bn254,18,40.216,3,6.461
Aggregate,1,PoSQL,bn254,18,23.524,2,5.617
Join,1,PoSQL,bn254,18,35.937,68,12.5
Limit,1,PoSQL,bn254,18,29.414,2,5.938
Filter,1,TT,bn254,19,8.733,10,7.513
Aggregate,1,TT,bn254,19,0.846,8,5.73
Join,1,TT,bn254,19,25.922,27,13.287
Join PK/FK,1,TT,bn254,19,1.454,22,3.639
Limit,1,TT,bn254,19,2.546,9,6.407
Filter,1,TT,bls12_381,19,13.751,13,7.911
Aggregate,1,TT,bls12_381,19,1.01,12,6.082
Join,1,TT,bls12_381,19,40.243,31,14.137
Join PK/FK,1,TT,bls12_381,19,2.112,28,4.007
Limit,1,TT,bls12_381,19,3.997,12,6.737
Filter,1,QEDB,bn254,19,45.776,1588,2.431
Aggregate,1,QEDB,bn254,19,65.754,429,0.48
Filter,1,QEDB,bls12_381,19,45.776,1588,2.431
Aggregate,1,QEDB,bls12_381,19,65.754,429,0.48
Filter,1,PoSQL,bn254,19,82.969,2,6.742
Aggregate,1,PoSQL,bn254,19,48.487,3,5.898
Join,1,PoSQL,bn254,19,75.495,134,13.062
Limit,1,PoSQL,bn254,19,60.555,2,6.219
