Q,System,scale-factor,prover time 4threads (s),prover time 1thread (s),total verifier time (ms),core verifier time (ms),preprocessed veritifier time (ms),proof size core(KB),plan size (KB),total proof size (KB)
q1,tt,0.05,19.97,57.10,18.93,12.37,6.56,20.72,0.04,20.74
q1,tt,0.1,39.80,112.32,19.09,12.76,6.33,21.11,0.04,21.12
q2,tt,0.05,3.89,11.48,40.56,20.14,20.42,41.80,0.06,41.80
q2,tt,0.1,5.83,17.05,41.28,20.66,20.62,45.48,0.06,45.50
q3,tt,0.05,8.73,25.82,24.24,15.25,8.99,33.94,0.06,33.95
q3,tt,0.1,16.92,49.42,25.21,16.50,8.71,37.60,0.06,37.61
q4,tt,0.05,19.18,55.95,18.19,13.27,4.92,29.02,0.04,29.04
q4,tt,0.1,37.70,107.88,18.99,13.52,5.47,32.42,0.04,32.44
q5,tt,0.05,9.95,29.13,29.84,17.05,12.79,40.65,0.04,40.66
q5,tt,0.1,19.37,54.60,30.53,17.65,12.88,42.13,0.04,42.14
q6,tt,0.05,20.69,59.21,13.13,9.89,3.24,16.74,0.04,16.68
q6,tt,0.1,41.38,116.28,13.09,10.46,2.63,17.08,0.04,17.07
q7,tt,0.05,16.33,45.45,39.66,19.53,20.13,41.53,0.04,41.54
q7,tt,0.1,31.78,87.06,40.97,20.84,20.13,46.26,0.04,46.28
q8,tt,0.05,9.70,27.17,45.56,22.98,22.58,55.74,0.04,55.75
q8,tt,0.1,17.16,48.28,47.79,30.56,17.23,56.85,0.04,56.87
q9,tt,0.05,51.75,127.02,27.67,15.00,12.67,30.83,0.04,30.85
q9,tt,0.1,122.10,271.44,28.78,15.60,13.18,33.48,0.04,33.50
q10,tt,0.05,10.91,30.15,39.80,27.31,12.49,38.91,0.06,38.93
q10,tt,0.1,20.04,57.23,40.19,28.45,11.74,40.01,0.06,40.03
q12,tt,0.05,27.71,80.16,18.08,11.80,6.28,20.60,0.04,20.62
q12,tt,0.1,54.92,158.10,17.99,12.46,5.53,21.01,0.04,21.02
q14,tt,0.05,8.52,24.99,15.37,11.12,4.25,22.45,0.04,22.47
q14,tt,0.1,16.80,48.41,15.89,11.51,4.38,23.23,0.04,23.24
q15,tt,0.05,32.50,93.06,25.18,15.03,10.15,27.04,0.14,27.07
q15,tt,0.1,64.74,183.18,25.89,15.32,10.57,27.75,0.14,27.77
q17,tt,0.05,13.32,39.14,21.35,13.49,7.86,27.54,0.04,27.55
q17,tt,0.1,26.41,76.44,21.63,13.94,7.69,28.62,0.04,28.63
q18,tt,0.05,24.86,70.62,26.05,16.43,9.62,28.55,0.05,28.56
q18,tt,0.1,49.23,138.96,27.26,17.08,10.18,34.17,0.05,34.18
q19,tt,0.05,33.52,89.04,40.72,20.09,20.63,36.06,0.04,36.08
q19,tt,0.1,67.74,175.44,41.59,20.99,20.60,37.43,0.04,37.45
q20,tt,0.05,29.30,81.96,29.64,18.05,11.59,41.37,0.12,41.39
q20,tt,0.1,60.84,161.76,29.88,18.76,11.12,42.39,0.12,42.40
