Q,config,scale-factor,threads,prover time (s),total verifier time (ms),total proof size (KB)
q1,all_off,0.05,1,73.92,18.41,19.48
q1,pkfk_on_remat_off,0.05,1,74.04,18.34,19.48
q1,pkfk_off_remat_on,0.05,1,57.05,18.71,20.74
q2,all_off,0.05,1,22.60,52.20,59.49
q2,pkfk_on_remat_off,0.05,1,11.24,39.88,40.31
q2,pkfk_off_remat_on,0.05,1,22.86,53.20,60.23
q3,all_off,0.05,1,25.73,24.29,33.24
q3,pkfk_on_remat_off,0.05,1,25.83,24.23,33.25
q3,pkfk_off_remat_on,0.05,1,25.85,24.55,33.95
q4,all_off,0.05,1,55.03,18.01,27.54
q4,pkfk_on_remat_off,0.05,1,54.96,17.53,27.54
q4,pkfk_off_remat_on,0.05,1,56.10,18.15,29.04
q5,all_off,0.05,1,31.95,35.50,49.55
q5,pkfk_on_remat_off,0.05,1,28.90,29.36,40.44
q5,pkfk_off_remat_on,0.05,1,32.13,36.10,50.17
q6,all_off,0.05,1,59.18,12.80,16.49
q6,pkfk_on_remat_off,0.05,1,59.60,13.04,16.49
q6,pkfk_off_remat_on,0.05,1,59.12,13.19,16.68
q7,all_off,0.05,1,76.68,45.62,51.61
q7,pkfk_on_remat_off,0.05,1,45.20,39.64,42.58
q7,pkfk_off_remat_on,0.05,1,77.04,46.26,49.03
q8,all_off,0.05,1,29.04,48.65,60.18
q8,pkfk_on_remat_off,0.05,1,26.98,44.51,55.00
q8,pkfk_off_remat_on,0.05,1,29.44,49.50,60.21
q9,all_off,0.05,1,265.62,38.21,42.55
q9,pkfk_on_remat_off,0.05,1,133.14,28.07,29.86
q9,pkfk_off_remat_on,0.05,1,258.78,37.96,44.35
q10,all_off,0.05,1,31.64,45.38,44.67
q10,pkfk_on_remat_off,0.05,1,30.23,38.51,35.19
q10,pkfk_off_remat_on,0.05,1,31.69,46.12,48.40
q12,all_off,0.05,1,52.74,20.59,28.54
q12,pkfk_on_remat_off,0.05,1,88.50,17.92,20.03
q12,pkfk_off_remat_on,0.05,1,52.86,21.04,29.13
q14,all_off,0.05,1,24.86,15.24,22.19
q14,pkfk_on_remat_off,0.05,1,24.95,15.12,22.19
q14,pkfk_off_remat_on,0.05,1,24.82,15.35,22.47
q15,all_off,0.05,1,96.78,25.09,26.53
q15,pkfk_on_remat_off,0.05,1,96.84,24.85,26.53
q15,pkfk_off_remat_on,0.05,1,93.12,25.71,27.07
q17,all_off,0.05,1,38.68,21.01,27.29
q17,pkfk_on_remat_off,0.05,1,38.70,20.96,27.29
q17,pkfk_off_remat_on,0.05,1,39.24,21.02,27.55
q18,all_off,0.05,1,70.86,28.86,34.54
q18,pkfk_on_remat_off,0.05,1,70.68,25.36,28.09
q18,pkfk_off_remat_on,0.05,1,73.32,34.24,34.67
q19,all_off,0.05,1,98.34,49.99,35.79
q19,pkfk_on_remat_off,0.05,1,94.02,49.50,35.79
q19,pkfk_off_remat_on,0.05,1,93.54,52.16,36.08
q20,all_off,0.05,1,85.32,32.60,45.59
q20,pkfk_on_remat_off,0.05,1,80.28,29.13,40.97
q20,pkfk_off_remat_on,0.05,1,87.30,32.72,46.17
