Q,System,scale-factor,prover time 4threads (s),prover time 1thread (s),total verifier time (ms),core verifier time (ms),preprocessed veritifier time (ms),proof size core(KB),plan size (KB),total proof size (KB)
q1,tt,0.01,,8.45,14.61,9.53,5.08,15.40,0.04,15.40
q1,poneglyph,0.01,,20.56,4.81,,,,,7.47
q1,tt,0.02,,15.66,14.73,9.98,4.75,15.75,0.04,15.76
q1,poneglyph,0.02,,39.22,5.68,,,,,7.47
q1,tt,0.04,,29.58,15.29,10.07,5.22,18.78,0.04,18.79
q1,poneglyph,0.04,,77.49,5.32,,,,,7.47
q3,tt,0.01,,5.46,22.16,14.07,8.09,30.75,0.04,30.77
q3,poneglyph,0.01,,38.50,9.86,,,,,18.28
q3,tt,0.02,,8.36,22.82,14.71,8.11,31.40,0.04,31.42
q3,poneglyph,0.02,,73.05,9.64,,,,,18.28
q3,tt,0.04,,14.04,22.99,15.00,7.99,31.95,0.04,31.96
q3,poneglyph,0.04,,145.00,9.28,,,,,18.28
q5,tt,0.01,,6.88,28.43,15.83,12.60,37.63,0.04,37.65
q5,poneglyph,0.01,,48.31,12.15,,,,,22.94
q5,tt,0.02,,9.04,28.83,16.16,12.67,37.99,0.04,38.00
q5,poneglyph,0.02,,90.98,11.08,,,,,22.94
q5,tt,0.04,,12.71,29.40,16.16,13.24,39.25,0.04,39.26
q5,poneglyph,0.04,,182.65,11.80,,,,,22.94
q8,tt,0.01,,9.01,43.79,21.11,22.68,49.85,0.04,49.86
q8,poneglyph,0.01,,64.99,13.40,,,,,29.59
q8,tt,0.02,,11.08,45.04,22.11,22.93,50.54,0.04,50.55
q8,poneglyph,0.02,,124.44,14.08,,,,,29.62
q8,tt,0.04,,15.19,45.18,22.53,22.65,51.86,0.39,51.89
q8,poneglyph,0.04,,246.21,14.29,,,,,29.59
q9,tt,0.01,,19.02,26.66,13.76,12.90,25.91,0.04,25.91
q9,poneglyph,0.01,,52.12,12.89,,,,,27.66
q9,tt,0.02,,16.14,27.47,14.63,12.84,34.20,0.04,34.22
q9,poneglyph,0.02,,104.46,13.74,,,,,27.69
q9,tt,0.04,,16.63,27.77,14.89,12.88,35.58,0.04,35.60
q9,poneglyph,0.04,,210.02,13.42,,,,,27.69
q18,tt,0.01,,13.98,21.16,16.49,4.67,20.30,0.04,20.31
q18,poneglyph,0.01,,31.64,8.39,,,,,15.62
q18,tt,0.02,,22.87,21.58,16.85,4.73,20.66,0.04,20.67
q18,poneglyph,0.02,,62.98,8.18,,,,,15.66
q18,tt,0.04,,44.57,22.28,17.12,5.16,23.70,0.04,23.71
q18,poneglyph,0.04,,124.35,8.51,,,,,15.66
